id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT1,146.0,BESTEFFORT,COMPLETED,gpu,0.044,"{'cpu': 1.48, 'gpu': 0.999, 'CLOUD': 0.999}",0.044,1.043,3.044,4.5440000000000005
2,TT1,7.0,BESTEFFORT,COMPLETED,gpu,1.375,"{'cpu': 1.455, 'gpu': 0.97, 'CLOUD': 0.97}",1.375,2.3449999999999998,4.375,5.875
3,TT1,7.0,BESTEFFORT,COMPLETED,cpu,1.546,"{'cpu': 1.459, 'gpu': 0.979, 'CLOUD': 0.979}",1.546,3.005,4.546,6.046
4,TT1,169.0,BESTEFFORT,COMPLETED,gpu,1.789,"{'cpu': 1.455, 'gpu': 0.973, 'CLOUD': 0.973}",2.3449999999999998,3.3179999999999996,4.789,6.289
5,TT1,30.0,BESTEFFORT,COMPLETED,gpu,2.461,"{'cpu': 1.454, 'gpu': 0.981, 'CLOUD': 0.981}",3.3179999999999996,4.2989999999999995,5.461,6.961
6,TT1,126.0,BESTEFFORT,COMPLETED,cpu,3.441,"{'cpu': 1.476, 'gpu': 0.968, 'CLOUD': 0.968}",3.441,4.917,6.441,7.941
7,TT1,90.0,BESTEFFORT,COMPLETED,gpu,4.019,"{'cpu': 1.469, 'gpu': 0.945, 'CLOUD': 0.945}",4.2989999999999995,5.244,7.019,8.519
8,TT1,498.0,BESTEFFORT,COMPLETED,cpu,4.275,"{'cpu': 1.473, 'gpu': 0.965, 'CLOUD': 0.965}",4.917,6.39,7.275,8.775
9,TT1,512.0,BESTEFFORT,COMPLETED,gpu,4.397,"{'cpu': 1.482, 'gpu': 0.973, 'CLOUD': 0.973}",5.244,6.217,7.397,8.897
10,TT1,379.0,BESTEFFORT,COMPLETED,cpu,5.031,"{'cpu': 1.447, 'gpu': 0.984, 'CLOUD': 0.984}",6.39,7.837,8.030999999999999,9.530999999999999
11,TT1,49.0,BESTEFFORT,COMPLETED,gpu,5.135,"{'cpu': 1.446, 'gpu': 0.97, 'CLOUD': 0.97}",6.217,7.186999999999999,8.135,9.635
12,TT1,214.0,BESTEFFORT,COMPLETED,gpu,5.29,"{'cpu': 1.446, 'gpu': 0.969, 'CLOUD': 0.969}",7.186999999999999,8.155999999999999,8.29,9.79
13,TT1,44.0,BESTEFFORT,MISSED,cpu,5.377,"{'cpu': 1.46, 'gpu': 0.978, 'CLOUD': 0.978}",9.29,inf,8.376999999999999,9.876999999999999
14,TT1,7.0,BESTEFFORT,XCOMPLETED,gpu,5.589,"{'cpu': 1.468, 'gpu': 0.971, 'CLOUD': 0.971}",9.114999999999998,10.085999999999999,8.589,10.089
15,TT1,10.0,BESTEFFORT,XCOMPLETED,cpu,5.919,"{'cpu': 1.453, 'gpu': 0.978, 'CLOUD': 0.978}",7.837,9.29,8.919,10.419
16,TT1,7.0,BESTEFFORT,COMPLETED,gpu,6.76,"{'cpu': 1.461, 'gpu': 0.959, 'CLOUD': 0.959}",8.155999999999999,9.114999999999998,9.76,11.26
17,TT1,30.0,BESTEFFORT,XCOMPLETED,cpu,7.473,"{'cpu': 1.437, 'gpu': 0.977, 'CLOUD': 0.977}",9.876999999999999,11.313999999999998,10.472999999999999,11.972999999999999
18,TT1,379.0,BESTEFFORT,MISSED,cpu,7.814,"{'cpu': 1.455, 'gpu': 0.99, 'CLOUD': 0.99}",11.313999999999998,inf,10.814,12.314
19,TT1,379.0,BESTEFFORT,XCOMPLETED,gpu,7.823,"{'cpu': 1.447, 'gpu': 0.965, 'CLOUD': 0.965}",10.085999999999999,11.050999999999998,10.823,12.323
20,TT1,7.0,BESTEFFORT,XCOMPLETED,gpu,8.863,"{'cpu': 1.475, 'gpu': 0.969, 'CLOUD': 0.969}",11.050999999999998,12.019999999999998,11.863,13.363
21,TT1,6.0,BESTEFFORT,MISSED,gpu,9.348,"{'cpu': 1.455, 'gpu': 0.975, 'CLOUD': 0.975}",12.980999999999998,inf,12.348,13.848
22,TT1,7.0,BESTEFFORT,MISSED,cpu,10.25,"{'cpu': 1.45, 'gpu': 0.976, 'CLOUD': 0.976}",13.759,inf,13.25,14.75
23,TT1,16.0,BESTEFFORT,COMPLETED,gpu,10.285,"{'cpu': 1.474, 'gpu': 0.961, 'CLOUD': 0.961}",12.019999999999998,12.980999999999998,13.285,14.785
24,TT1,10.0,BESTEFFORT,XCOMPLETED,cpu,10.351,"{'cpu': 1.445, 'gpu': 0.968, 'CLOUD': 0.968}",12.314,13.759,13.351,14.851
25,TT1,559.0,BESTEFFORT,XCOMPLETED,cpu,12.28,"{'cpu': 1.447, 'gpu': 0.972, 'CLOUD': 0.972}",14.75,16.197,15.28,16.78
26,TT1,7.0,BESTEFFORT,COMPLETED,gpu,12.622,"{'cpu': 1.453, 'gpu': 0.956, 'CLOUD': 0.956}",13.848,14.804,15.622,17.122
27,TT1,7.0,BESTEFFORT,XCOMPLETED,gpu,12.722,"{'cpu': 1.485, 'gpu': 0.958, 'CLOUD': 0.958}",14.804,15.762,15.722,17.222
28,TT1,59.0,BESTEFFORT,MISSED,cpu,12.887,"{'cpu': 1.453, 'gpu': 0.965, 'CLOUD': 0.965}",16.197,inf,15.887,17.387
29,TT1,90.0,BESTEFFORT,MISSED,gpu,12.948,"{'cpu': 1.48, 'gpu': 0.98, 'CLOUD': 0.98}",16.725,inf,15.948,17.448
30,TT1,126.0,BESTEFFORT,XCOMPLETED,gpu,13.609,"{'cpu': 1.451, 'gpu': 0.963, 'CLOUD': 0.963}",15.762,16.725,16.609,18.109
31,TT1,214.0,BESTEFFORT,MISSED,cpu,13.645,"{'cpu': 1.44, 'gpu': 0.971, 'CLOUD': 0.971}",17.387,inf,16.645,18.145
32,TT1,90.0,BESTEFFORT,XCOMPLETED,gpu,13.906,"{'cpu': 1.465, 'gpu': 0.944, 'CLOUD': 0.944}",17.448,18.392,16.906,18.406
33,TT1,7.0,BESTEFFORT,MISSED,cpu,14.285,"{'cpu': 1.461, 'gpu': 0.977, 'CLOUD': 0.977}",18.145,inf,17.285,18.785
34,TT1,16.0,BESTEFFORT,MISSED,gpu,14.569,"{'cpu': 1.456, 'gpu': 0.969, 'CLOUD': 0.969}",18.392,inf,17.569000000000003,19.069000000000003
35,TT1,30.0,BESTEFFORT,MISSED,cpu,14.991,"{'cpu': 1.474, 'gpu': 0.966, 'CLOUD': 0.966}",18.785,inf,17.991,19.491
36,TT1,214.0,BESTEFFORT,MISSED,gpu,15.447,"{'cpu': 1.463, 'gpu': 0.982, 'CLOUD': 0.982}",19.069000000000003,inf,18.447,19.947
37,TT1,120.0,BESTEFFORT,MISSED,cpu,15.484,"{'cpu': 1.478, 'gpu': 0.969, 'CLOUD': 0.969}",19.491,inf,18.484,19.984
38,TT1,90.0,BESTEFFORT,XCOMPLETED,gpu,16.556,"{'cpu': 1.456, 'gpu': 0.971, 'CLOUD': 0.971}",19.947,20.918,19.556,21.056
39,TT1,120.0,BESTEFFORT,MISSED,cpu,16.906,"{'cpu': 1.458, 'gpu': 0.975, 'CLOUD': 0.975}",19.984,inf,19.906,21.406
40,TT1,214.0,BESTEFFORT,MISSED,cpu,17.511,"{'cpu': 1.444, 'gpu': 0.976, 'CLOUD': 0.976}",21.406,inf,20.511,22.011
41,TT1,16.0,BESTEFFORT,XCOMPLETED,gpu,17.92,"{'cpu': 1.465, 'gpu': 0.962, 'CLOUD': 0.962}",20.918,21.88,20.92,22.42
42,TT1,7.0,BESTEFFORT,XCOMPLETED,cpu,19.965,"{'cpu': 1.44, 'gpu': 0.968, 'CLOUD': 0.968}",22.011,23.451,22.965,24.465
43,TT1,59.0,BESTEFFORT,COMPLETED,gpu,20.202,"{'cpu': 1.479, 'gpu': 0.952, 'CLOUD': 0.952}",21.88,22.832,23.202,24.702
44,TT1,7.0,BESTEFFORT,MISSED,cpu,20.293,"{'cpu': 1.455, 'gpu': 0.991, 'CLOUD': 0.991}",23.451,inf,23.293,24.793
45,TT1,90.0,BESTEFFORT,COMPLETED,gpu,21.615,"{'cpu': 1.473, 'gpu': 0.954, 'CLOUD': 0.954}",22.832,23.786,24.615,26.115
46,TT1,498.0,BESTEFFORT,COMPLETED,gpu,21.985,"{'cpu': 1.464, 'gpu': 0.966, 'CLOUD': 0.966}",23.786,24.752000000000002,24.985,26.485
47,TT1,387.0,BESTEFFORT,XCOMPLETED,cpu,22.516,"{'cpu': 1.456, 'gpu': 0.987, 'CLOUD': 0.987}",24.793,26.249,25.516,27.016
48,TT1,44.0,BESTEFFORT,COMPLETED,gpu,23.59,"{'cpu': 1.462, 'gpu': 0.969, 'CLOUD': 0.969}",24.752000000000002,25.721000000000004,26.59,28.09
49,TT1,157.0,BESTEFFORT,XCOMPLETED,cpu,23.694,"{'cpu': 1.44, 'gpu': 0.975, 'CLOUD': 0.975}",26.249,27.689,26.694,28.194
50,TT1,103.0,BESTEFFORT,COMPLETED,gpu,24.672,"{'cpu': 1.436, 'gpu': 0.971, 'CLOUD': 0.971}",25.721000000000004,26.692000000000004,27.672,29.172
51,TT1,126.0,BESTEFFORT,MISSED,cpu,25.304,"{'cpu': 1.445, 'gpu': 0.984, 'CLOUD': 0.984}",29.133,inf,28.304,29.804
52,TT1,7.0,BESTEFFORT,MISSED,gpu,25.404,"{'cpu': 1.455, 'gpu': 0.971, 'CLOUD': 0.971}",29.677000000000003,inf,28.404,29.904
53,TT1,49.0,BESTEFFORT,COMPLETED,gpu,25.484,"{'cpu': 1.453, 'gpu': 0.966, 'CLOUD': 0.966}",26.692000000000004,27.658000000000005,28.484,29.984
54,TT1,7.0,BESTEFFORT,XCOMPLETED,cpu,25.602,"{'cpu': 1.444, 'gpu': 0.961, 'CLOUD': 0.961}",27.689,29.133,28.602,30.102
55,TT2,93.0,URGENT,COMPLETED,gpu,25.659,"{'cpu': 2.31, 'gpu': 0.095, 'CLOUD': 0.095}",27.658000000000005,27.753000000000004,28.159,29.409
56,TT1,44.0,BESTEFFORT,COMPLETED,gpu,26.018,"{'cpu': 1.454, 'gpu': 0.969, 'CLOUD': 0.969}",27.753000000000004,28.722000000000005,29.018,30.518
