id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT2,91.0,URGENT,COMPLETED,gpu,2.501,"{'cpu': 2.307, 'gpu': 0.102, 'CLOUD': 0.102}",2.501,2.6029999999999998,5.0009999999999994,6.2509999999999994
2,TT2,174.0,URGENT,COMPLETED,gpu,6.216,"{'cpu': 2.303, 'gpu': 0.099, 'CLOUD': 0.099}",6.216,6.315,8.716000000000001,9.966000000000001
3,TT2,111.0,URGENT,COMPLETED,gpu,7.173,"{'cpu': 2.289, 'gpu': 0.097, 'CLOUD': 0.097}",7.173,7.2700000000000005,9.673,10.923
4,TT2,154.0,URGENT,COMPLETED,gpu,8.266,"{'cpu': 2.294, 'gpu': 0.096, 'CLOUD': 0.096}",8.266,8.362,10.766,12.016
5,TT2,97.0,URGENT,COMPLETED,gpu,9.185,"{'cpu': 2.311, 'gpu': 0.099, 'CLOUD': 0.099}",9.185,9.284,11.685,12.935
6,TT2,182.0,URGENT,COMPLETED,gpu,10.058,"{'cpu': 2.295, 'gpu': 0.096, 'CLOUD': 0.096}",10.058,10.154,12.558,13.808
7,TT2,58.0,URGENT,COMPLETED,gpu,15.395,"{'cpu': 2.299, 'gpu': 0.101, 'CLOUD': 0.101}",15.395,15.496,17.895,19.145
8,TT3,105.5,BESTEFFORT,COMPLETED,gpu,16.246,"{'cpu': 5.508, 'gpu': 1.498, 'CLOUD': 1.498}",16.246,17.744,25.246,29.746
9,TT2,233.0,URGENT,COMPLETED,gpu,17.181,"{'cpu': 2.294, 'gpu': 0.104, 'CLOUD': 0.104}",17.744,17.848,19.681,20.931
10,TT3,230.4,BESTEFFORT,COMPLETED,gpu,18.471,"{'cpu': 5.499, 'gpu': 1.498, 'CLOUD': 1.498}",18.471,19.969,27.471,31.971
11,TT2,147.0,URGENT,COMPLETED,gpu,18.839,"{'cpu': 2.31, 'gpu': 0.101, 'CLOUD': 0.101}",19.969,20.07,21.339,22.589
12,TT2,296.0,URGENT,COMPLETED,gpu,21.771,"{'cpu': 2.306, 'gpu': 0.106, 'CLOUD': 0.106}",21.771,21.877000000000002,24.271,25.521
13,TT2,186.0,URGENT,COMPLETED,gpu,22.855,"{'cpu': 2.295, 'gpu': 0.101, 'CLOUD': 0.101}",22.855,22.956,25.355,26.605
14,TT2,131.0,URGENT,COMPLETED,gpu,22.934,"{'cpu': 2.304, 'gpu': 0.108, 'CLOUD': 0.108}",22.956,23.064,25.434,26.684
15,TT2,118.0,URGENT,COMPLETED,gpu,24.221,"{'cpu': 2.31, 'gpu': 0.094, 'CLOUD': 0.094}",24.221,24.315,26.721,27.971
16,TT1,6.0,BESTEFFORT,COMPLETED,gpu,25.774,"{'cpu': 1.447, 'gpu': 0.962, 'CLOUD': 0.962}",25.774,26.736,28.774,30.274
