id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T2,BESTEFFORT,COMPLETED,m2-1,0.05,"{'m1-1': 98.51, 'm2-1': 1.03, 'm3-1': 111.76, 'm4-1': 1.04, 'm5-1': 101.2, 'm6-1': 10.94, 'm7-1': 11.23, 'm8-1': 107.21}",1.545,0.05,1.08,inf,150.05,150.05
1,T1,BESTEFFORT,COMPLETED,m4-1,0.199,"{'m1-1': 106.83, 'm2-1': 1.01, 'm3-1': 110.08, 'm4-1': 0.94, 'm5-1': 105.3, 'm6-1': 10.74, 'm7-1': 10.9, 'm8-1': 107.9}",1.41,0.199,1.139,inf,150.199,150.199
2,T4,BESTEFFORT,COMPLETED,m2-1,0.205,"{'m1-1': 100.77, 'm2-1': 1.05, 'm3-1': 106.01, 'm4-1': 1.04, 'm5-1': 98.51, 'm6-1': 10.06, 'm7-1': 10.6, 'm8-1': 97.84}",1.5750000000000002,1.08,2.13,inf,150.205,150.205
3,T1,BESTEFFORT,COMPLETED,m4-1,0.218,"{'m1-1': 111.95, 'm2-1': 0.94, 'm3-1': 116.03, 'm4-1': 0.97, 'm5-1': 103.86, 'm6-1': 9.54, 'm7-1': 11.48, 'm8-1': 100.05}",1.455,1.139,2.109,inf,150.218,150.218
4,T3,BESTEFFORT,COMPLETED,m4-1,0.289,"{'m1-1': 105.42, 'm2-1': 1.08, 'm3-1': 107.76, 'm4-1': 1.1, 'm5-1': 107.94, 'm6-1': 11.15, 'm7-1': 10.35, 'm8-1': 104.46}",1.6500000000000001,2.109,3.209,inf,150.289,150.289
5,T3,BESTEFFORT,COMPLETED,m2-1,0.336,"{'m1-1': 114.94, 'm2-1': 1.11, 'm3-1': 99.08, 'm4-1': 0.98, 'm5-1': 113.37, 'm6-1': 10.66, 'm7-1': 10.46, 'm8-1': 108.62}",1.665,2.13,3.24,inf,150.336,150.336
6,T2,BESTEFFORT,COMPLETED,m4-1,0.391,"{'m1-1': 99.94, 'm2-1': 1.07, 'm3-1': 109.41, 'm4-1': 1.07, 'm5-1': 97.84, 'm6-1': 9.67, 'm7-1': 11.15, 'm8-1': 112.83}",1.605,3.209,4.279,inf,150.391,150.391
7,T4,BESTEFFORT,COMPLETED,m2-1,0.694,"{'m1-1': 106.8, 'm2-1': 1.04, 'm3-1': 117.47, 'm4-1': 0.96, 'm5-1': 107.62, 'm6-1': 11.07, 'm7-1': 9.29, 'm8-1': 94.37}",1.56,3.24,4.28,inf,150.694,150.694
8,T1,BESTEFFORT,COMPLETED,m6-1,0.841,"{'m1-1': 102.46, 'm2-1': 0.92, 'm3-1': 100.96, 'm4-1': 0.96, 'm5-1': 97.13, 'm6-1': 10.21, 'm7-1': 11.37, 'm8-1': 103.05}",15.315000000000001,0.841,11.051,inf,150.841,150.841
9,T3,BESTEFFORT,COMPLETED,m4-1,1.466,"{'m1-1': 102.56, 'm2-1': 0.99, 'm3-1': 109.3, 'm4-1': 0.96, 'm5-1': 107.71, 'm6-1': 10.56, 'm7-1': 9.46, 'm8-1': 103.75}",1.44,4.279,5.239,inf,151.466,151.466
