id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T7,BESTEFFORT,COMPLETED,m1-1,0.126,"{'m1-1': 100.79, 'm2-1': 26.83, 'm3-1': 104.75, 'm4-1': 111.36, 'm5-1': 10.79, 'm6-1': 116.83, 'm7-1': 11.51, 'm8-1': 156.68}",151.185,0.126,100.91600000000001,inf,110.126,110.126
1,T9,BESTEFFORT,COMPLETED,m2-1,2.145,"{'m1-1': 109.45, 'm2-1': 27.51, 'm3-1': 107.77, 'm4-1': 95.19, 'm5-1': 10.65, 'm6-1': 103.0, 'm7-1': 9.56, 'm8-1': 148.33}",41.265,2.145,29.655,inf,112.145,112.145
2,T6,BESTEFFORT,COMPLETED,m3-1,2.385,"{'m1-1': 111.85, 'm2-1': 27.82, 'm3-1': 108.99, 'm4-1': 108.98, 'm5-1': 9.74, 'm6-1': 106.08, 'm7-1': 11.62, 'm8-1': 166.44}",163.48499999999999,2.385,111.375,inf,112.385,112.385
3,T2,BESTEFFORT,COMPLETED,m4-1,3.635,"{'m1-1': 106.36, 'm2-1': 27.57, 'm3-1': 113.49, 'm4-1': 96.28, 'm5-1': 10.54, 'm6-1': 106.95, 'm7-1': 10.08, 'm8-1': 166.51}",144.42000000000002,3.635,99.915,inf,113.635,113.635
4,T7,BESTEFFORT,COMPLETED,m5-1,4.745,"{'m1-1': 101.6, 'm2-1': 23.72, 'm3-1': 102.88, 'm4-1': 101.7, 'm5-1': 10.31, 'm6-1': 101.35, 'm7-1': 11.31, 'm8-1': 158.23}",15.465,4.745,15.055,inf,114.745,114.745
5,T5,BESTEFFORT,COMPLETED,m6-1,4.784,"{'m1-1': 103.4, 'm2-1': 27.14, 'm3-1': 98.83, 'm4-1': 107.24, 'm5-1': 11.72, 'm6-1': 105.57, 'm7-1': 9.89, 'm8-1': 154.4}",158.355,4.784,110.354,inf,114.784,114.784
6,T3,BESTEFFORT,COMPLETED,m7-1,6.067,"{'m1-1': 99.76, 'm2-1': 26.66, 'm3-1': 99.52, 'm4-1': 114.65, 'm5-1': 9.91, 'm6-1': 101.94, 'm7-1': 10.08, 'm8-1': 161.41}",15.120000000000001,6.067,16.147,inf,116.06700000000001,116.06700000000001
7,T6,BESTEFFORT,MISSED,m8-1,7.548,"{'m1-1': 102.3, 'm2-1': 26.32, 'm3-1': 104.46, 'm4-1': 111.28, 'm5-1': 10.65, 'm6-1': 105.68, 'm7-1': 9.85, 'm8-1': 154.89}",165.0,7.548,inf,117.548,117.548,117.548
8,T10,BESTEFFORT,MISSED,m1-1,7.946,"{'m1-1': 107.36, 'm2-1': 26.51, 'm3-1': 106.15, 'm4-1': 97.62, 'm5-1': 10.22, 'm6-1': 96.41, 'm7-1': 10.32, 'm8-1': 140.81}",25.54499999999998,100.91600000000001,inf,117.946,117.946,117.946
9,T9,BESTEFFORT,COMPLETED,m2-1,8.977,"{'m1-1': 110.69, 'm2-1': 25.02, 'm3-1': 106.24, 'm4-1': 100.52, 'm5-1': 9.64, 'm6-1': 109.38, 'm7-1': 10.05, 'm8-1': 150.12}",37.53,29.655,54.675,inf,118.977,118.977
10,T6,BESTEFFORT,MISSED,m3-1,9.226,"{'m1-1': 112.14, 'm2-1': 24.12, 'm3-1': 112.14, 'm4-1': 96.44, 'm5-1': 10.1, 'm6-1': 99.45, 'm7-1': 11.06, 'm8-1': 161.96}",11.776499999999999,111.375,inf,119.226,119.226,119.226
11,T5,BESTEFFORT,MISSED,m4-1,11.482,"{'m1-1': 93.29, 'm2-1': 27.16, 'm3-1': 93.07, 'm4-1': 107.06, 'm5-1': 10.22, 'm6-1': 109.52, 'm7-1': 10.01, 'm8-1': 156.13}",32.35049999999999,99.915,inf,121.482,121.482,121.482
12,T5,BESTEFFORT,COMPLETED,m5-1,13.445,"{'m1-1': 93.15, 'm2-1': 24.72, 'm3-1': 102.26, 'm4-1': 101.64, 'm5-1': 10.85, 'm6-1': 109.14, 'm7-1': 10.79, 'm8-1': 155.17}",16.275,15.055,25.905,inf,123.445,123.445
13,T7,BESTEFFORT,MISSED,m6-1,13.454,"{'m1-1': 112.41, 'm2-1': 25.76, 'm3-1': 100.75, 'm4-1': 104.93, 'm5-1': 10.93, 'm6-1': 113.15, 'm7-1': 10.73, 'm8-1': 146.88}",19.650000000000013,110.354,inf,123.45400000000001,123.45400000000001,123.45400000000001
14,T4,BESTEFFORT,COMPLETED,m7-1,13.893,"{'m1-1': 113.43, 'm2-1': 25.35, 'm3-1': 106.04, 'm4-1': 109.61, 'm5-1': 10.09, 'm6-1': 111.01, 'm7-1': 11.63, 'm8-1': 153.8}",17.445,16.147,27.777,inf,123.893,123.893
15,T9,BESTEFFORT,COMPLETED,m5-1,16.756,"{'m1-1': 113.71, 'm2-1': 26.01, 'm3-1': 96.85, 'm4-1': 102.85, 'm5-1': 10.01, 'm6-1': 103.23, 'm7-1': 11.2, 'm8-1': 148.85}",15.015,25.905,35.915,inf,126.756,126.756
16,T4,BESTEFFORT,COMPLETED,m7-1,17.13,"{'m1-1': 106.84, 'm2-1': 24.38, 'm3-1': 99.55, 'm4-1': 104.2, 'm5-1': 11.59, 'm6-1': 107.63, 'm7-1': 10.61, 'm8-1': 163.23}",15.915,27.777,38.387,inf,127.13,127.13
17,T5,BESTEFFORT,MISSED,m8-1,17.617,"{'m1-1': 98.67, 'm2-1': 27.34, 'm3-1': 93.01, 'm4-1': 109.91, 'm5-1': 9.93, 'm6-1': 100.6, 'm7-1': 11.09, 'm8-1': 168.86}",15.103500000000004,117.548,inf,127.617,127.617,127.617
18,T9,BESTEFFORT,MISSED,m1-1,17.731,"{'m1-1': 108.5, 'm2-1': 26.62, 'm3-1': 94.46, 'm4-1': 111.48, 'm5-1': 9.88, 'm6-1': 111.85, 'm7-1': 11.31, 'm8-1': 172.42}",14.677499999999995,117.946,inf,127.731,127.731,127.731
19,T5,BESTEFFORT,COMPLETED,m2-1,18.072,"{'m1-1': 102.44, 'm2-1': 25.96, 'm3-1': 102.45, 'm4-1': 105.56, 'm5-1': 10.3, 'm6-1': 99.38, 'm7-1': 10.14, 'm8-1': 169.4}",38.94,54.675,80.63499999999999,inf,128.072,128.072
20,T6,BESTEFFORT,MISSED,m3-1,19.196,"{'m1-1': 111.05, 'm2-1': 24.68, 'm3-1': 109.19, 'm4-1': 101.7, 'm5-1': 10.1, 'm6-1': 108.2, 'm7-1': 11.07, 'm8-1': 158.27}",14.954999999999998,119.226,inf,129.196,129.196,129.196
21,T8,BESTEFFORT,MISSED,m4-1,22.229,"{'m1-1': 115.93, 'm2-1': 28.0, 'm3-1': 111.04, 'm4-1': 109.74, 'm5-1': 11.5, 'm6-1': 98.73, 'm7-1': 11.65, 'm8-1': 174.27}",16.12049999999998,121.482,inf,132.22899999999998,132.22899999999998,132.22899999999998
