task_type,arrival_time,est_m1,est_m2,est_m3,ext_m1-1,ext_m2-1,ext_m3-1
T2,0.5,105.84,9.59,1.02,104.85,9.88,0.92
T1,1.491,102.4,96.97,10.02,97.62,103.18,10.3
T1,1.638,103.93,91.38,10.65,107.64,92.0,9.44
T3,2.889,107.85,1.05,10.15,107.06,1.06,9.28
T3,3.361,93.0,0.96,9.64,103.2,0.94,9.42
T2,3.912,96.59,10.48,0.92,95.02,10.3,0.96
T1,6.305,101.79,107.57,9.97,102.33,93.26,9.32
T3,14.656,91.67,1.06,9.19,94.82,1.08,9.46
T3,15.101,93.3,0.95,9.31,105.79,1.04,10.12
T1,15.985,96.25,107.99,9.94,95.51,97.99,9.59
T3,16.339,97.81,1.08,9.23,107.14,0.96,10.6
T2,16.676,106.35,10.4,1.05,99.12,10.31,1.06
T2,16.895,99.55,9.66,1.08,96.17,10.49,1.0
T2,19.2,96.59,10.84,1.0,100.53,9.82,0.98
T2,19.721,94.36,9.25,1.03,99.37,10.25,1.06
T1,20.073,95.79,92.87,10.17,94.19,91.82,10.64
T2,23.321,105.06,10.58,1.0,101.17,9.29,0.99
T1,25.056,106.73,95.23,9.42,105.81,108.4,9.83
T1,25.153,96.05,94.88,9.9,93.54,102.01,9.38
T3,25.599,100.25,1.09,9.53,103.26,0.96,9.5
T3,27.717,100.33,1.03,9.5,103.11,1.04,10.22
T1,30.164,92.46,104.71,9.77,108.32,95.23,10.79
T2,34.225,101.43,9.14,0.94,104.02,9.5,1.06
T2,37.908,103.15,10.75,0.94,98.73,9.97,1.07
T3,38.759,101.31,1.04,9.15,106.88,1.07,10.51
T2,46.669,104.97,9.4,0.96,93.23,10.28,1.08
T2,47.39,94.48,10.71,1.02,102.43,10.33,1.03
T1,51.494,96.06,108.21,9.4,101.54,95.64,10.74
T3,63.702,98.01,1.08,9.85,107.66,1.08,9.88
T1,65.763,106.05,97.65,10.23,96.48,98.94,9.94
T2,67.594,98.9,10.2,1.06,92.42,9.75,0.92
T2,69.024,105.66,9.24,1.0,105.71,9.58,1.02
T3,69.129,92.53,1.04,9.26,104.31,0.93,9.85
T2,70.986,91.66,9.48,1.01,99.24,9.22,0.97
T3,73.167,104.3,1.09,9.14,102.32,1.02,10.71
T1,75.582,105.35,101.78,10.86,96.25,92.18,10.76
T1,76.445,108.64,107.04,10.22,94.9,96.18,10.29
T3,76.494,103.03,0.94,10.53,104.27,1.0,9.35
T2,77.836,100.6,10.41,1.07,93.2,9.33,0.95
T3,78.556,107.2,0.94,9.55,93.51,1.05,9.22
T3,82.37,105.77,0.97,10.73,93.01,1.05,10.02
T3,88.932,98.42,0.95,9.58,93.96,1.05,9.14
T3,89.652,104.47,1.05,9.27,107.74,0.93,9.54
T1,93.271,91.74,108.4,10.57,102.33,101.6,10.85
T2,97.765,105.65,10.7,0.96,104.04,9.83,0.93
T3,101.86,99.55,1.07,10.78,92.87,0.94,10.73
T3,105.638,105.11,1.02,9.31,102.7,1.06,10.18
T1,107.865,97.88,92.73,9.25,93.33,94.28,9.94
T1,109.219,101.23,92.95,9.84,101.83,101.64,10.42
T2,111.993,98.65,9.93,1.06,106.23,9.66,1.01
T1,116.723,102.08,101.26,10.4,101.45,103.95,10.74
T1,116.878,104.35,95.17,10.4,107.13,96.65,10.01
T1,117.809,98.32,108.51,9.43,91.38,100.18,9.42
T3,119.314,91.57,1.02,10.0,99.2,0.94,9.6
T1,120.662,107.27,96.08,9.33,105.59,100.96,9.56
T1,121.951,95.39,94.97,9.74,99.11,92.65,10.76
T3,124.393,107.52,1.01,9.98,103.68,0.95,9.72
T1,132.622,107.67,107.01,9.59,96.61,97.04,9.35
T3,133.763,101.64,1.03,10.22,105.86,0.98,9.88
