id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT1,BESTEFFORT,COMPLETED,cpu-1,0.004,"{'cpu-1': 1.429, 'gpu-1': 0.91}",171.48000000000002,0.004,1.433,inf,4.103999999999999,4.103999999999999
1,TT2,BESTEFFORT,COMPLETED,gpu-1,0.354,"{'cpu-1': 2.488, 'gpu-1': 3.276}",982.8,0.354,3.63,inf,6.7540000000000004,6.7540000000000004
2,TT2,BESTEFFORT,COMPLETED,cpu-1,0.38,"{'cpu-1': 4.339, 'gpu-1': 1.601}",520.6800000000001,1.433,5.772,inf,6.78,6.78
3,TT1,BESTEFFORT,COMPLETED,gpu-1,0.552,"{'cpu-1': 1.442, 'gpu-1': 0.928}",278.40000000000003,3.63,4.558,inf,4.651999999999999,4.651999999999999
4,TT1,BESTEFFORT,MISSED,gpu-1,0.566,"{'cpu-1': 1.486, 'gpu-1': 1.444}",32.39999999999989,4.558,inf,4.6659999999999995,4.6659999999999995,4.6659999999999995
5,TT1,BESTEFFORT,CANCELLED,,0.681,"{'cpu-1': 2.015, 'gpu-1': 0.883}",0.0,inf,inf,inf,4.781,4.781
6,TT1,BESTEFFORT,MISSED,cpu-1,0.773,"{'cpu-1': 1.11, 'gpu-1': 1.401}",0.0,5.772,inf,5.772,4.872999999999999,4.872999999999999
7,TT1,BESTEFFORT,MISSED,gpu-1,0.955,"{'cpu-1': 1.757, 'gpu-1': 1.25}",116.70000000000007,4.6659999999999995,inf,5.055,5.055,5.055
8,TT2,BESTEFFORT,CANCELLED,,1.088,"{'cpu-1': 1.616, 'gpu-1': 1.723}",0.0,inf,inf,inf,7.488,7.488
9,TT2,BESTEFFORT,CANCELLED,,1.255,"{'cpu-1': 1.689, 'gpu-1': 0.965}",0.0,inf,inf,inf,7.655,7.655
10,TT2,BESTEFFORT,CANCELLED,,1.27,"{'cpu-1': 12.36, 'gpu-1': 3.25}",0.0,inf,inf,inf,7.67,7.67
11,TT1,BESTEFFORT,CANCELLED,,1.58,"{'cpu-1': 1.749, 'gpu-1': 0.797}",0.0,inf,inf,inf,5.68,5.68
12,TT2,BESTEFFORT,MISSED,cpu-1,1.641,"{'cpu-1': 12.463, 'gpu-1': 1.309}",272.28000000000003,5.772,inf,8.041,8.041,8.041
