id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T2,BESTEFFORT,COMPLETED,m3-1,0.5,"{'m1-1': 104.85, 'm2-1': 9.88, 'm3-1': 0.92}",9.200000000000001,0.5,1.42,inf,100.5,100.5
1,T1,BESTEFFORT,COMPLETED,m3-1,1.491,"{'m1-1': 97.62, 'm2-1': 103.18, 'm3-1': 10.3}",103.0,1.491,11.791,inf,101.491,101.491
2,T1,BESTEFFORT,COMPLETED,m3-1,1.638,"{'m1-1': 107.64, 'm2-1': 92.0, 'm3-1': 9.44}",94.39999999999999,11.791,21.231,inf,101.638,101.638
3,T3,BESTEFFORT,COMPLETED,m2-1,2.889,"{'m1-1': 107.06, 'm2-1': 1.06, 'm3-1': 9.28}",318.0,2.889,3.949,inf,102.889,102.889
4,T3,BESTEFFORT,COMPLETED,m2-1,3.361,"{'m1-1': 103.2, 'm2-1': 0.94, 'm3-1': 9.42}",282.0,3.949,4.888999999999999,inf,103.361,103.361
5,T2,BESTEFFORT,COMPLETED,m2-1,3.912,"{'m1-1': 95.02, 'm2-1': 10.3, 'm3-1': 0.96}",3090.0,4.888999999999999,15.189,inf,103.912,103.912
6,T1,BESTEFFORT,COMPLETED,m3-1,6.305,"{'m1-1': 102.33, 'm2-1': 93.26, 'm3-1': 9.32}",93.2,21.231,30.551000000000002,inf,106.305,106.305
7,T3,BESTEFFORT,COMPLETED,m2-1,14.656,"{'m1-1': 94.82, 'm2-1': 1.08, 'm3-1': 9.46}",324.0,15.189,16.269,inf,114.656,114.656
8,T3,BESTEFFORT,COMPLETED,m2-1,15.101,"{'m1-1': 105.79, 'm2-1': 1.04, 'm3-1': 10.12}",312.0,16.269,17.308999999999997,inf,115.101,115.101
9,T1,BESTEFFORT,COMPLETED,m3-1,15.985,"{'m1-1': 95.51, 'm2-1': 97.99, 'm3-1': 9.59}",95.9,30.551000000000002,40.141000000000005,inf,115.985,115.985
10,T3,BESTEFFORT,COMPLETED,m2-1,16.339,"{'m1-1': 107.14, 'm2-1': 0.96, 'm3-1': 10.6}",288.0,17.308999999999997,18.269,inf,116.339,116.339
