id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT2,BESTEFFORT,COMPLETED,m4-1,0.042,"{'m1-1': 2.641, 'm2-1': 1.956, 'm3-1': 4.275, 'm4-1': 0.852}",1.278,0.042,0.894,inf,5.1419999999999995,5.1419999999999995
1,TT3,BESTEFFORT,COMPLETED,m2-1,0.114,"{'m1-1': 1.893, 'm2-1': 1.7, 'm3-1': 5.64, 'm4-1': 0.832}",5.1,0.114,1.814,inf,5.314,5.314
2,TT1,BESTEFFORT,COMPLETED,m4-1,0.143,"{'m1-1': 2.109, 'm2-1': 1.813, 'm3-1': 4.969, 'm4-1': 0.753}",1.1295,0.894,1.647,inf,5.143,5.143
3,TT1,BESTEFFORT,COMPLETED,m4-1,0.482,"{'m1-1': 2.138, 'm2-1': 1.958, 'm3-1': 4.219, 'm4-1': 0.797}",1.1955,1.647,2.444,inf,5.482,5.482
4,TT2,BESTEFFORT,COMPLETED,m1-1,0.636,"{'m1-1': 2.109, 'm2-1': 2.132, 'm3-1': 4.089, 'm4-1': 0.893}",3.3744,0.636,2.745,inf,5.736,5.736
5,TT3,BESTEFFORT,COMPLETED,m2-1,1.406,"{'m1-1': 2.101, 'm2-1': 1.715, 'm3-1': 4.637, 'm4-1': 0.74}",5.1450000000000005,1.814,3.529,inf,6.606,6.606
6,TT4,BESTEFFORT,COMPLETED,m4-1,1.64,"{'m1-1': 2.22, 'm2-1': 1.766, 'm3-1': 3.963, 'm4-1': 0.901}",1.3515000000000001,2.444,3.3449999999999998,inf,6.64,6.64
7,TT3,BESTEFFORT,COMPLETED,m4-1,1.838,"{'m1-1': 1.883, 'm2-1': 1.499, 'm3-1': 5.77, 'm4-1': 0.785}",1.1775,3.3449999999999998,4.13,inf,7.038,7.038
8,TT4,BESTEFFORT,COMPLETED,m1-1,1.987,"{'m1-1': 2.144, 'm2-1': 1.832, 'm3-1': 4.947, 'm4-1': 0.948}",3.4304000000000006,2.745,4.889,inf,6.987,6.987
9,TT1,BESTEFFORT,COMPLETED,m2-1,2.041,"{'m1-1': 2.244, 'm2-1': 1.897, 'm3-1': 4.172, 'm4-1': 0.63}",5.691,3.529,5.426,inf,7.041,7.041
10,TT3,BESTEFFORT,COMPLETED,m4-1,2.117,"{'m1-1': 2.049, 'm2-1': 1.661, 'm3-1': 4.897, 'm4-1': 0.743}",1.1145,4.13,4.873,inf,7.317,7.317
11,TT4,BESTEFFORT,COMPLETED,m2-1,2.257,"{'m1-1': 1.783, 'm2-1': 1.659, 'm3-1': 4.87, 'm4-1': 0.9}",4.977,5.426,7.085,inf,7.257,7.257
12,TT1,BESTEFFORT,COMPLETED,m1-1,2.427,"{'m1-1': 2.223, 'm2-1': 1.853, 'm3-1': 4.083, 'm4-1': 0.667}",3.5568,4.889,7.112,inf,7.427,7.427
