id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT3,BESTEFFORT,COMPLETED,m4-1,0.073,"{'m1-1': 2.156, 'm2-1': 1.301, 'm3-1': 4.335, 'm4-1': 0.753}",1.1295,0.073,0.826,inf,5.273000000000001,5.273000000000001
1,TT1,BESTEFFORT,COMPLETED,m4-1,0.107,"{'m1-1': 2.057, 'm2-1': 1.801, 'm3-1': 4.915, 'm4-1': 0.616}",0.9239999999999999,0.826,1.442,inf,5.107,5.107
2,TT1,BESTEFFORT,COMPLETED,m2-1,0.183,"{'m1-1': 2.348, 'm2-1': 1.607, 'm3-1': 4.019, 'm4-1': 0.642}",4.821,0.183,1.79,inf,5.183,5.183
3,TT1,BESTEFFORT,COMPLETED,m1-1,0.373,"{'m1-1': 2.228, 'm2-1': 1.851, 'm3-1': 4.62, 'm4-1': 0.815}",3.5648000000000004,0.373,2.601,inf,5.373,5.373
4,TT3,BESTEFFORT,COMPLETED,m4-1,0.664,"{'m1-1': 1.842, 'm2-1': 1.604, 'm3-1': 4.59, 'm4-1': 0.967}",1.4505,1.442,2.409,inf,5.864,5.864
5,TT2,BESTEFFORT,COMPLETED,m4-1,0.675,"{'m1-1': 2.368, 'm2-1': 1.605, 'm3-1': 4.135, 'm4-1': 0.722}",1.083,2.409,3.131,inf,5.7749999999999995,5.7749999999999995
6,TT2,BESTEFFORT,COMPLETED,m2-1,0.73,"{'m1-1': 2.558, 'm2-1': 1.604, 'm3-1': 4.082, 'm4-1': 0.918}",4.812,1.79,3.394,inf,5.83,5.83
7,TT4,BESTEFFORT,COMPLETED,m1-1,0.791,"{'m1-1': 1.734, 'm2-1': 1.719, 'm3-1': 5.086, 'm4-1': 0.904}",2.7744,2.601,4.335,inf,5.791,5.791
8,TT4,BESTEFFORT,COMPLETED,m4-1,0.873,"{'m1-1': 2.008, 'm2-1': 1.885, 'm3-1': 4.648, 'm4-1': 0.902}",1.353,3.131,4.0329999999999995,inf,5.873,5.873
9,TT4,BESTEFFORT,COMPLETED,m4-1,1.585,"{'m1-1': 2.378, 'm2-1': 1.659, 'm3-1': 4.116, 'm4-1': 0.774}",1.161,4.0329999999999995,4.8069999999999995,inf,6.585,6.585
