id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT4,BESTEFFORT,COMPLETED,m4-1,0.552,"{'m1-1': 1.884, 'm2-1': 1.437, 'm3-1': 3.983, 'm4-1': 0.855}",1.2825,0.552,1.407,inf,5.552,5.552
1,TT4,BESTEFFORT,COMPLETED,m4-1,1.011,"{'m1-1': 2.102, 'm2-1': 1.833, 'm3-1': 3.763, 'm4-1': 1.036}",1.554,1.407,2.443,inf,6.011,6.011
2,TT2,BESTEFFORT,COMPLETED,m2-1,1.028,"{'m1-1': 1.933, 'm2-1': 1.925, 'm3-1': 5.043, 'm4-1': 0.967}",5.775,1.028,2.9530000000000003,inf,6.128,6.128
3,TT4,BESTEFFORT,COMPLETED,m4-1,1.087,"{'m1-1': 1.92, 'm2-1': 1.375, 'm3-1': 4.342, 'm4-1': 0.964}",1.446,2.443,3.407,inf,6.087,6.087
4,TT1,BESTEFFORT,COMPLETED,m1-1,1.185,"{'m1-1': 1.931, 'm2-1': 1.662, 'm3-1': 4.165, 'm4-1': 0.703}",3.0896000000000003,1.185,3.116,inf,6.1850000000000005,6.1850000000000005
5,TT1,BESTEFFORT,COMPLETED,m4-1,1.204,"{'m1-1': 2.101, 'm2-1': 1.415, 'm3-1': 4.357, 'm4-1': 0.631}",0.9465,3.407,4.038,inf,6.204,6.204
6,TT1,BESTEFFORT,COMPLETED,m2-1,1.231,"{'m1-1': 2.31, 'm2-1': 1.767, 'm3-1': 4.87, 'm4-1': 0.842}",5.301,2.9530000000000003,4.720000000000001,inf,6.231,6.231
7,TT1,BESTEFFORT,COMPLETED,m1-1,1.303,"{'m1-1': 2.169, 'm2-1': 1.58, 'm3-1': 4.072, 'm4-1': 0.666}",3.4704,3.116,5.285,inf,6.303,6.303
8,TT1,BESTEFFORT,COMPLETED,m3-1,1.324,"{'m1-1': 2.057, 'm2-1': 1.464, 'm3-1': 4.542, 'm4-1': 0.764}",8.1756,1.324,5.866,inf,6.324,6.324
9,TT1,BESTEFFORT,COMPLETED,m4-1,1.455,"{'m1-1': 1.86, 'm2-1': 1.967, 'm3-1': 3.632, 'm4-1': 0.625}",0.9375,4.038,4.663,inf,6.455,6.455
