id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT2,BESTEFFORT,COMPLETED,gpu-1,0.249,"{'cpu-1': 4.612, 'gpu-1': 1.838}",551.4,0.249,2.087,inf,6.649,6.649
1,TT2,BESTEFFORT,COMPLETED,cpu-1,0.531,"{'cpu-1': 6.394, 'gpu-1': 1.211}",767.28,0.531,6.925,inf,6.931,6.931
2,TT1,BESTEFFORT,MISSED,cpu-1,0.574,"{'cpu-1': 1.351, 'gpu-1': 0.923}",0.0,6.925,inf,6.925,4.6739999999999995,4.6739999999999995
3,TT1,BESTEFFORT,COMPLETED,gpu-1,0.77,"{'cpu-1': 1.5, 'gpu-1': 0.958}",287.4,2.087,3.045,inf,4.869999999999999,4.869999999999999
4,TT2,BESTEFFORT,COMPLETED,gpu-1,1.1,"{'cpu-1': 2.727, 'gpu-1': 0.713}",213.89999999999998,3.045,3.758,inf,7.5,7.5
5,TT1,BESTEFFORT,COMPLETED,gpu-1,1.394,"{'cpu-1': 1.425, 'gpu-1': 1.401}",420.3,3.758,5.159,inf,5.494,5.494
6,TT2,BESTEFFORT,CANCELLED,,1.673,"{'cpu-1': 5.89, 'gpu-1': 1.435}",0.0,inf,inf,inf,8.073,8.073
7,TT2,BESTEFFORT,COMPLETED,gpu-1,1.791,"{'cpu-1': 8.715, 'gpu-1': 1.7}",510.0,5.159,6.859,inf,8.191,8.191
8,TT2,BESTEFFORT,CANCELLED,cpu-1,2.087,"{'cpu-1': 6.025, 'gpu-1': 1.135}",0.0,inf,inf,inf,8.487,8.487
9,TT1,BESTEFFORT,MISSED,gpu-1,2.996,"{'cpu-1': 1.255, 'gpu-1': 0.854}",71.10000000000002,6.859,inf,7.096,7.096,7.096
10,TT2,BESTEFFORT,CANCELLED,,3.07,"{'cpu-1': 3.758, 'gpu-1': 0.996}",0.0,inf,inf,inf,9.47,9.47
11,TT2,BESTEFFORT,CANCELLED,gpu-1,3.41,"{'cpu-1': 6.492, 'gpu-1': 1.791}",0.0,inf,inf,inf,9.81,9.81
12,TT1,BESTEFFORT,MISSED,gpu-1,3.757,"{'cpu-1': 1.786, 'gpu-1': 0.824}",228.29999999999978,7.096,inf,7.856999999999999,7.856999999999999,7.856999999999999
13,TT1,BESTEFFORT,COMPLETED,cpu-1,3.9,"{'cpu-1': 0.999, 'gpu-1': 0.928}",119.88,6.925,7.9239999999999995,inf,8.0,8.0
14,TT2,BESTEFFORT,CANCELLED,,4.402,"{'cpu-1': 4.79, 'gpu-1': 1.701}",0.0,inf,inf,inf,10.802,10.802
15,TT2,BESTEFFORT,CANCELLED,,5.003,"{'cpu-1': 12.444, 'gpu-1': 1.688}",0.0,inf,inf,inf,11.403,11.403
16,TT2,BESTEFFORT,COMPLETED,gpu-1,5.013,"{'cpu-1': 5.488, 'gpu-1': 2.039}",611.7,7.856999999999999,9.895999999999999,inf,11.413,11.413
17,TT1,BESTEFFORT,COMPLETED,cpu-1,5.949,"{'cpu-1': 1.272, 'gpu-1': 1.158}",152.64000000000001,7.9239999999999995,9.196,inf,10.049,10.049
18,TT1,BESTEFFORT,MISSED,gpu-1,5.963,"{'cpu-1': 1.321, 'gpu-1': 0.643}",50.099999999999945,9.895999999999999,inf,10.062999999999999,10.062999999999999,10.062999999999999
19,TT1,BESTEFFORT,COMPLETED,cpu-1,6.416,"{'cpu-1': 1.301, 'gpu-1': 1.151}",156.12,9.196,10.497,inf,10.516,10.516
20,TT2,BESTEFFORT,CANCELLED,,6.711,"{'cpu-1': 6.228, 'gpu-1': 0.551}",0.0,inf,inf,inf,13.111,13.111
21,TT2,BESTEFFORT,COMPLETED,gpu-1,6.908,"{'cpu-1': 3.299, 'gpu-1': 1.334}",400.20000000000005,10.062999999999999,11.396999999999998,inf,13.308,13.308
22,TT1,BESTEFFORT,MISSED,gpu-1,6.995,"{'cpu-1': 1.288, 'gpu-1': 0.869}",0.0,11.396999999999998,inf,11.396999999999998,11.094999999999999,11.094999999999999
23,TT2,BESTEFFORT,CANCELLED,,7.656,"{'cpu-1': 1.484, 'gpu-1': 0.999}",0.0,inf,inf,inf,14.056000000000001,14.056000000000001
24,TT2,BESTEFFORT,CANCELLED,,8.653,"{'cpu-1': 1.73, 'gpu-1': 2.048}",0.0,inf,inf,inf,15.053,15.053
25,TT2,BESTEFFORT,COMPLETED,cpu-1,8.883,"{'cpu-1': 4.369, 'gpu-1': 2.291}",524.28,10.497,14.866,inf,15.283,15.283
26,TT1,BESTEFFORT,MISSED,cpu-1,9.522,"{'cpu-1': 1.24, 'gpu-1': 1.392}",0.0,14.866,inf,14.866,13.622,13.622
27,TT1,BESTEFFORT,COMPLETED,gpu-1,10.293,"{'cpu-1': 1.25, 'gpu-1': 0.678}",203.4,11.396999999999998,12.075,inf,14.392999999999999,14.392999999999999
28,TT2,BESTEFFORT,MISSED,cpu-1,10.372,"{'cpu-1': 2.268, 'gpu-1': 1.124}",228.71999999999986,14.866,inf,16.772,16.772,16.772
29,TT2,BESTEFFORT,COMPLETED,gpu-1,10.801,"{'cpu-1': 1.66, 'gpu-1': 1.301}",390.29999999999995,12.075,13.376,inf,17.201,17.201
30,TT2,BESTEFFORT,COMPLETED,gpu-1,11.042,"{'cpu-1': 1.872, 'gpu-1': 0.674}",202.20000000000002,13.376,14.049999999999999,inf,17.442,17.442
31,TT2,BESTEFFORT,COMPLETED,gpu-1,11.324,"{'cpu-1': 5.488, 'gpu-1': 0.896}",268.8,14.049999999999999,14.946,inf,17.724,17.724
32,TT2,BESTEFFORT,CANCELLED,,11.381,"{'cpu-1': 8.766, 'gpu-1': 3.113}",0.0,inf,inf,inf,17.781,17.781
33,TT1,BESTEFFORT,CANCELLED,,11.45,"{'cpu-1': 2.277, 'gpu-1': 1.392}",0.0,inf,inf,inf,15.549999999999999,15.549999999999999
34,TT2,BESTEFFORT,COMPLETED,gpu-1,11.757,"{'cpu-1': 11.381, 'gpu-1': 0.919}",275.7,14.946,15.865,inf,18.157,18.157
35,TT2,BESTEFFORT,CANCELLED,,11.883,"{'cpu-1': 5.661, 'gpu-1': 0.837}",0.0,inf,inf,inf,18.283,18.283
