id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT1,BESTEFFORT,COMPLETED,m2-1,0.09,"{'m1-1': 5.904, 'm2-1': 1.067}",12.803999999999998,0.09,1.157,inf,6.09,9.09
1,TT1,BESTEFFORT,COMPLETED,m2-1,0.233,"{'m1-1': 5.909, 'm2-1': 1.067}",12.803999999999998,1.157,2.224,inf,6.2330000000000005,9.233
2,TT1,BESTEFFORT,COMPLETED,m2-1,0.954,"{'m1-1': 5.989, 'm2-1': 1.043}",12.515999999999998,2.224,3.2670000000000003,inf,6.954000000000001,9.954
3,TT2,BESTEFFORT,COMPLETED,m1-1,1.298,"{'m1-1': 1.043, 'm2-1': 5.99}",6.257999999999999,1.298,2.341,inf,7.298,10.298
4,TT1,BESTEFFORT,COMPLETED,m2-1,1.417,"{'m1-1': 5.94, 'm2-1': 1.053}",12.636,3.2670000000000003,4.32,inf,7.417,10.417
5,TT2,BESTEFFORT,COMPLETED,m1-1,2.296,"{'m1-1': 1.064, 'm2-1': 5.985}",6.384,2.341,3.4050000000000002,inf,8.296,11.296
6,TT2,BESTEFFORT,COMPLETED,m1-1,2.448,"{'m1-1': 1.062, 'm2-1': 5.963}",6.372,3.4050000000000002,4.4670000000000005,inf,8.448,11.448
7,TT1,BESTEFFORT,COMPLETED,m2-1,4.213,"{'m1-1': 5.979, 'm2-1': 1.051}",12.611999999999998,4.32,5.371,inf,10.213000000000001,13.213000000000001
8,TT1,BESTEFFORT,COMPLETED,m2-1,4.331,"{'m1-1': 5.932, 'm2-1': 1.062}",12.744,5.371,6.433000000000001,inf,10.331,13.331
9,TT1,BESTEFFORT,COMPLETED,m2-1,4.413,"{'m1-1': 5.942, 'm2-1': 1.069}",12.828,6.433000000000001,7.502000000000001,inf,10.413,13.413
10,TT2,BESTEFFORT,COMPLETED,m1-1,4.493,"{'m1-1': 1.058, 'm2-1': 5.982}",6.348000000000001,4.493,5.551,inf,10.493,13.493
11,TT2,BESTEFFORT,COMPLETED,m1-1,5.301,"{'m1-1': 1.09, 'm2-1': 5.918}",6.540000000000001,5.551,6.641,inf,11.301,14.301
12,TT2,BESTEFFORT,COMPLETED,m1-1,5.525,"{'m1-1': 1.027, 'm2-1': 5.925}",6.161999999999999,6.641,7.668,inf,11.525,14.525
13,TT2,BESTEFFORT,COMPLETED,m1-1,6.105,"{'m1-1': 1.038, 'm2-1': 5.911}",6.228,7.668,8.706,inf,12.105,15.105
14,TT2,BESTEFFORT,COMPLETED,m1-1,6.159,"{'m1-1': 1.01, 'm2-1': 5.954}",6.0600000000000005,8.706,9.716,inf,12.158999999999999,15.158999999999999
15,TT2,BESTEFFORT,XCOMPLETED,m2-1,6.228,"{'m1-1': 1.064, 'm2-1': 5.93}",71.16,7.502000000000001,13.432,inf,12.228,15.228
16,TT1,BESTEFFORT,XCOMPLETED,m2-1,6.843,"{'m1-1': 5.929, 'm2-1': 1.048}",12.576,13.432,14.48,inf,12.843,15.843
17,TT1,BESTEFFORT,XCOMPLETED,m2-1,6.927,"{'m1-1': 5.9, 'm2-1': 1.003}",12.035999999999998,14.48,15.483,inf,12.927,15.927
18,TT2,BESTEFFORT,COMPLETED,m1-1,7.174,"{'m1-1': 1.002, 'm2-1': 5.921}",6.0120000000000005,9.716,10.718,inf,13.174,16.174
19,TT1,BESTEFFORT,XCOMPLETED,m2-1,8.637,"{'m1-1': 5.948, 'm2-1': 1.048}",12.576,15.483,16.531,inf,14.637,17.637
20,TT2,BESTEFFORT,COMPLETED,m1-1,9.273,"{'m1-1': 1.018, 'm2-1': 5.999}",6.1080000000000005,10.718,11.736,inf,15.273,18.273
21,TT1,BESTEFFORT,XCOMPLETED,m1-1,9.591,"{'m1-1': 5.96, 'm2-1': 1.089}",35.76,11.736,17.696,inf,15.591000000000001,18.591
22,TT1,BESTEFFORT,CANCELLED,,9.816,"{'m1-1': 5.951, 'm2-1': 1.065}",0.0,inf,inf,inf,15.816000000000003,18.816000000000003
23,TT1,BESTEFFORT,CANCELLED,,11.367,"{'m1-1': 5.947, 'm2-1': 1.036}",0.0,inf,inf,inf,17.367,20.367
24,TT1,BESTEFFORT,CANCELLED,,11.429,"{'m1-1': 5.973, 'm2-1': 1.009}",0.0,inf,inf,inf,17.429000000000002,20.429000000000002
25,TT2,BESTEFFORT,XCOMPLETED,m1-1,12.104,"{'m1-1': 1.009, 'm2-1': 5.966}",6.053999999999999,17.696,18.705000000000002,inf,18.104,21.104
26,TT1,BESTEFFORT,COMPLETED,m2-1,12.6,"{'m1-1': 5.94, 'm2-1': 1.074}",12.888000000000002,16.531,17.605,inf,18.6,21.6
27,TT2,BESTEFFORT,XCOMPLETED,m1-1,12.897,"{'m1-1': 1.026, 'm2-1': 5.962}",6.156000000000001,18.705000000000002,19.731,inf,18.897,21.897
28,TT2,BESTEFFORT,XCOMPLETED,m1-1,13.986,"{'m1-1': 1.083, 'm2-1': 5.92}",6.497999999999999,19.731,20.814,inf,19.986,22.986
29,TT2,BESTEFFORT,XCOMPLETED,m2-1,15.897,"{'m1-1': 1.064, 'm2-1': 5.979}",71.748,17.605,23.584,inf,21.897,24.897
30,TT2,BESTEFFORT,CANCELLED,,15.997,"{'m1-1': 1.001, 'm2-1': 5.931}",0.0,inf,inf,inf,21.997,24.997
31,TT2,BESTEFFORT,COMPLETED,m1-1,17.591,"{'m1-1': 1.068, 'm2-1': 5.912}",6.408,20.814,21.882,inf,23.591,26.591
32,TT2,BESTEFFORT,COMPLETED,m1-1,18.073,"{'m1-1': 1.089, 'm2-1': 5.954}",6.534,21.882,22.971,inf,24.073,27.073
33,TT1,BESTEFFORT,COMPLETED,m2-1,19.025,"{'m1-1': 5.921, 'm2-1': 1.064}",12.768,23.584,24.648,inf,25.025,28.025
34,TT1,BESTEFFORT,XCOMPLETED,m2-1,19.056,"{'m1-1': 5.986, 'm2-1': 1.091}",13.091999999999999,24.648,25.739,inf,25.056,28.056
35,TT1,BESTEFFORT,XCOMPLETED,m2-1,19.094,"{'m1-1': 5.969, 'm2-1': 1.089}",13.068,25.739,26.828,inf,25.094,28.094
36,TT2,BESTEFFORT,COMPLETED,m1-1,19.981,"{'m1-1': 1.031, 'm2-1': 5.92}",6.186,22.971,24.002,inf,25.981,28.981
37,TT2,BESTEFFORT,COMPLETED,m1-1,20.532,"{'m1-1': 1.072, 'm2-1': 5.995}",6.432,24.002,25.073999999999998,inf,26.532,29.532
38,TT1,BESTEFFORT,CANCELLED,,21.024,"{'m1-1': 5.93, 'm2-1': 1.085}",0.0,inf,inf,inf,27.024,30.024
39,TT2,BESTEFFORT,CANCELLED,,21.06,"{'m1-1': 1.095, 'm2-1': 5.996}",0.0,inf,inf,inf,27.06,30.06
40,TT2,BESTEFFORT,COMPLETED,m1-1,21.353,"{'m1-1': 1.099, 'm2-1': 5.925}",6.593999999999999,25.073999999999998,26.173,inf,27.353,30.353
41,TT1,BESTEFFORT,CANCELLED,,21.668,"{'m1-1': 5.929, 'm2-1': 1.077}",0.0,inf,inf,inf,27.668,30.668
42,TT1,BESTEFFORT,CANCELLED,,21.731,"{'m1-1': 5.976, 'm2-1': 1.004}",0.0,inf,inf,inf,27.731,30.731
43,TT2,BESTEFFORT,COMPLETED,m1-1,22.235,"{'m1-1': 1.08, 'm2-1': 5.901}",6.48,26.173,27.253,inf,28.235,31.235
44,TT2,BESTEFFORT,MISSED,m2-1,23.705,"{'m1-1': 1.062, 'm2-1': 5.976}",70.52399999999999,26.828,inf,32.705,29.705,32.705
45,TT1,BESTEFFORT,XCOMPLETED,m1-1,24.237,"{'m1-1': 5.937, 'm2-1': 1.004}",35.622,27.253,33.19,inf,30.236999999999995,33.236999999999995
46,TT2,BESTEFFORT,MISSED,m1-1,25.119,"{'m1-1': 1.091, 'm2-1': 5.961}",5.574000000000012,33.19,inf,34.119,31.119,34.119
47,TT1,BESTEFFORT,XCOMPLETED,m2-1,25.512,"{'m1-1': 5.936, 'm2-1': 1.098}",13.176000000000002,32.705,33.803,inf,31.512,34.512
48,TT2,BESTEFFORT,CANCELLED,,25.686,"{'m1-1': 1.072, 'm2-1': 5.997}",0.0,inf,inf,inf,31.686,34.686
49,TT1,BESTEFFORT,XCOMPLETED,m2-1,26.176,"{'m1-1': 5.989, 'm2-1': 1.044}",12.528,33.803,34.846999999999994,inf,32.176,35.176
50,TT2,BESTEFFORT,XCOMPLETED,m1-1,26.814,"{'m1-1': 1.032, 'm2-1': 5.966}",6.192,34.119,35.150999999999996,inf,32.814,35.814
51,TT2,BESTEFFORT,XCOMPLETED,m1-1,27.943,"{'m1-1': 1.024, 'm2-1': 5.932}",6.144,35.150999999999996,36.175,inf,33.943,36.943
52,TT2,BESTEFFORT,CANCELLED,,28.258,"{'m1-1': 1.077, 'm2-1': 5.945}",0.0,inf,inf,inf,34.257999999999996,37.257999999999996
53,TT1,BESTEFFORT,XCOMPLETED,m2-1,29.428,"{'m1-1': 5.926, 'm2-1': 1.025}",12.299999999999999,34.846999999999994,35.87199999999999,inf,35.428,38.428
54,TT2,BESTEFFORT,CANCELLED,,29.974,"{'m1-1': 1.048, 'm2-1': 5.937}",0.0,inf,inf,inf,35.974000000000004,38.974000000000004
55,TT1,BESTEFFORT,CANCELLED,,30.881,"{'m1-1': 5.967, 'm2-1': 1.062}",0.0,inf,inf,inf,36.881,39.881
56,TT2,BESTEFFORT,CANCELLED,,31.073,"{'m1-1': 1.046, 'm2-1': 5.951}",0.0,inf,inf,inf,37.073,40.073
57,TT1,BESTEFFORT,COMPLETED,m2-1,32.309,"{'m1-1': 5.974, 'm2-1': 1.051}",12.611999999999998,35.87199999999999,36.922999999999995,inf,38.309,41.309
58,TT2,BESTEFFORT,COMPLETED,m1-1,32.73,"{'m1-1': 1.046, 'm2-1': 5.978}",6.276,36.175,37.221,inf,38.73,41.73
59,TT2,BESTEFFORT,COMPLETED,m1-1,33.641,"{'m1-1': 1.042, 'm2-1': 5.994}",6.252000000000001,37.221,38.263,inf,39.641,42.641
60,TT1,BESTEFFORT,COMPLETED,m2-1,33.7,"{'m1-1': 5.926, 'm2-1': 1.074}",12.888000000000002,36.922999999999995,37.99699999999999,inf,39.7,42.7
61,TT2,BESTEFFORT,COMPLETED,m1-1,34.55,"{'m1-1': 1.016, 'm2-1': 5.996}",6.096,38.263,39.278999999999996,inf,40.55,43.55
62,TT1,BESTEFFORT,COMPLETED,m2-1,34.814,"{'m1-1': 5.975, 'm2-1': 1.035}",12.419999999999998,37.99699999999999,39.03199999999999,inf,40.814,43.814
63,TT1,BESTEFFORT,COMPLETED,m2-1,35.972,"{'m1-1': 5.95, 'm2-1': 1.049}",12.588,39.03199999999999,40.08099999999999,inf,41.972,44.972
64,TT1,BESTEFFORT,CANCELLED,,36.018,"{'m1-1': 5.946, 'm2-1': 1.041}",0.0,inf,inf,inf,42.018,45.018
65,TT2,BESTEFFORT,COMPLETED,m1-1,36.518,"{'m1-1': 1.062, 'm2-1': 5.958}",6.372,39.278999999999996,40.340999999999994,inf,42.518,45.518
66,TT2,BESTEFFORT,CANCELLED,,36.761,"{'m1-1': 1.039, 'm2-1': 5.992}",0.0,inf,inf,inf,42.761,45.761
67,TT1,BESTEFFORT,COMPLETED,m2-1,36.981,"{'m1-1': 5.994, 'm2-1': 1.056}",12.672,40.08099999999999,41.136999999999986,inf,42.981,45.981
68,TT1,BESTEFFORT,COMPLETED,m2-1,37.184,"{'m1-1': 5.903, 'm2-1': 1.017}",12.203999999999999,41.136999999999986,42.15399999999999,inf,43.184,46.184
69,TT1,BESTEFFORT,CANCELLED,,37.189,"{'m1-1': 5.958, 'm2-1': 1.089}",0.0,inf,inf,inf,43.189,46.189
70,TT1,BESTEFFORT,XCOMPLETED,m1-1,38.403,"{'m1-1': 5.97, 'm2-1': 1.004}",35.82,40.340999999999994,46.31099999999999,inf,44.403,47.403
71,TT2,BESTEFFORT,XCOMPLETED,m1-1,39.634,"{'m1-1': 1.006, 'm2-1': 5.929}",6.036,46.31099999999999,47.31699999999999,inf,45.634,48.634
72,TT2,BESTEFFORT,XCOMPLETED,m1-1,41.223,"{'m1-1': 1.076, 'm2-1': 5.922}",6.456,47.31699999999999,48.392999999999994,inf,47.223,50.223
73,TT2,BESTEFFORT,XCOMPLETED,m1-1,41.476,"{'m1-1': 1.036, 'm2-1': 5.988}",6.216,48.392999999999994,49.428999999999995,inf,47.476,50.476
74,TT1,BESTEFFORT,COMPLETED,m2-1,41.552,"{'m1-1': 5.979, 'm2-1': 1.045}",12.54,42.15399999999999,43.19899999999999,inf,47.552,50.552
75,TT2,BESTEFFORT,XCOMPLETED,m2-1,41.656,"{'m1-1': 1.088, 'm2-1': 5.912}",70.944,43.19899999999999,49.11099999999999,inf,47.656,50.656
76,TT1,BESTEFFORT,XCOMPLETED,m2-1,42.036,"{'m1-1': 5.945, 'm2-1': 1.028}",12.336,49.11099999999999,50.13899999999999,inf,48.036,51.036
77,TT2,BESTEFFORT,CANCELLED,,43.492,"{'m1-1': 1.038, 'm2-1': 5.965}",0.0,inf,inf,inf,49.492,52.492
78,TT2,BESTEFFORT,CANCELLED,,43.717,"{'m1-1': 1.05, 'm2-1': 5.917}",0.0,inf,inf,inf,49.717,52.717
