id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T7,BESTEFFORT,COMPLETED,m5-1,0.126,"{'m1-1': 100.79, 'm2-1': 26.83, 'm3-1': 104.75, 'm4-1': 111.36, 'm5-1': 10.79, 'm6-1': 116.83, 'm7-1': 11.51, 'm8-1': 156.68}",16.185,0.126,10.915999999999999,inf,110.126,110.126
1,T9,BESTEFFORT,COMPLETED,m7-1,2.145,"{'m1-1': 109.45, 'm2-1': 27.51, 'm3-1': 107.77, 'm4-1': 95.19, 'm5-1': 10.65, 'm6-1': 103.0, 'm7-1': 9.56, 'm8-1': 148.33}",14.34,2.145,11.705,inf,112.145,112.145
2,T6,BESTEFFORT,COMPLETED,m5-1,2.385,"{'m1-1': 111.85, 'm2-1': 27.82, 'm3-1': 108.99, 'm4-1': 108.98, 'm5-1': 9.74, 'm6-1': 106.08, 'm7-1': 11.62, 'm8-1': 166.44}",14.61,10.915999999999999,20.656,inf,112.385,112.385
3,T2,BESTEFFORT,COMPLETED,m7-1,3.635,"{'m1-1': 106.36, 'm2-1': 27.57, 'm3-1': 113.49, 'm4-1': 96.28, 'm5-1': 10.54, 'm6-1': 106.95, 'm7-1': 10.08, 'm8-1': 166.51}",15.120000000000001,11.705,21.785,inf,113.635,113.635
4,T7,BESTEFFORT,COMPLETED,m2-1,4.745,"{'m1-1': 101.6, 'm2-1': 23.72, 'm3-1': 102.88, 'm4-1': 101.7, 'm5-1': 10.31, 'm6-1': 101.35, 'm7-1': 11.31, 'm8-1': 158.23}",35.58,4.745,28.465,inf,114.745,114.745
5,T5,BESTEFFORT,COMPLETED,m5-1,4.784,"{'m1-1': 103.4, 'm2-1': 27.14, 'm3-1': 98.83, 'm4-1': 107.24, 'm5-1': 11.72, 'm6-1': 105.57, 'm7-1': 9.89, 'm8-1': 154.4}",17.580000000000002,20.656,32.376,inf,114.784,114.784
6,T3,BESTEFFORT,COMPLETED,m7-1,6.067,"{'m1-1': 99.76, 'm2-1': 26.66, 'm3-1': 99.52, 'm4-1': 114.65, 'm5-1': 9.91, 'm6-1': 101.94, 'm7-1': 10.08, 'm8-1': 161.41}",15.120000000000001,21.785,31.865000000000002,inf,116.06700000000001,116.06700000000001
7,T6,BESTEFFORT,COMPLETED,m5-1,7.548,"{'m1-1': 102.3, 'm2-1': 26.32, 'm3-1': 104.46, 'm4-1': 111.28, 'm5-1': 10.65, 'm6-1': 105.68, 'm7-1': 9.85, 'm8-1': 154.89}",15.975000000000001,32.376,43.025999999999996,inf,117.548,117.548
8,T10,BESTEFFORT,COMPLETED,m7-1,7.946,"{'m1-1': 107.36, 'm2-1': 26.51, 'm3-1': 106.15, 'm4-1': 97.62, 'm5-1': 10.22, 'm6-1': 96.41, 'm7-1': 10.32, 'm8-1': 140.81}",15.48,31.865000000000002,42.185,inf,117.946,117.946
9,T9,BESTEFFORT,COMPLETED,m2-1,8.977,"{'m1-1': 110.69, 'm2-1': 25.02, 'm3-1': 106.24, 'm4-1': 100.52, 'm5-1': 9.64, 'm6-1': 109.38, 'm7-1': 10.05, 'm8-1': 150.12}",37.53,28.465,53.485,inf,118.977,118.977
10,T6,BESTEFFORT,COMPLETED,m2-1,9.226,"{'m1-1': 112.14, 'm2-1': 24.12, 'm3-1': 112.14, 'm4-1': 96.44, 'm5-1': 10.1, 'm6-1': 99.45, 'm7-1': 11.06, 'm8-1': 161.96}",36.18,53.485,77.605,inf,119.226,119.226
11,T5,BESTEFFORT,COMPLETED,m5-1,11.482,"{'m1-1': 93.29, 'm2-1': 27.16, 'm3-1': 93.07, 'm4-1': 107.06, 'm5-1': 10.22, 'm6-1': 109.52, 'm7-1': 10.01, 'm8-1': 156.13}",15.330000000000002,43.025999999999996,53.245999999999995,inf,121.482,121.482
12,T5,BESTEFFORT,COMPLETED,m7-1,13.445,"{'m1-1': 93.15, 'm2-1': 24.72, 'm3-1': 102.26, 'm4-1': 101.64, 'm5-1': 10.85, 'm6-1': 109.14, 'm7-1': 10.79, 'm8-1': 155.17}",16.185,42.185,52.975,inf,123.445,123.445
13,T7,BESTEFFORT,COMPLETED,m2-1,13.454,"{'m1-1': 112.41, 'm2-1': 25.76, 'm3-1': 100.75, 'm4-1': 104.93, 'm5-1': 10.93, 'm6-1': 113.15, 'm7-1': 10.73, 'm8-1': 146.88}",38.64,77.605,103.36500000000001,inf,123.45400000000001,123.45400000000001
14,T4,BESTEFFORT,MISSED,m1-1,13.893,"{'m1-1': 113.43, 'm2-1': 25.35, 'm3-1': 106.04, 'm4-1': 109.61, 'm5-1': 10.09, 'm6-1': 111.01, 'm7-1': 11.63, 'm8-1': 153.8}",165.0,13.893,inf,123.893,123.893,123.893
15,T9,BESTEFFORT,COMPLETED,m4-1,16.756,"{'m1-1': 113.71, 'm2-1': 26.01, 'm3-1': 96.85, 'm4-1': 102.85, 'm5-1': 10.01, 'm6-1': 103.23, 'm7-1': 11.2, 'm8-1': 148.85}",154.27499999999998,16.756,119.606,inf,126.756,126.756
16,T4,BESTEFFORT,COMPLETED,m3-1,17.13,"{'m1-1': 106.84, 'm2-1': 24.38, 'm3-1': 99.55, 'm4-1': 104.2, 'm5-1': 11.59, 'm6-1': 107.63, 'm7-1': 10.61, 'm8-1': 163.23}",149.325,17.13,116.67999999999999,inf,127.13,127.13
17,T5,BESTEFFORT,COMPLETED,m6-1,17.617,"{'m1-1': 98.67, 'm2-1': 27.34, 'm3-1': 93.01, 'm4-1': 109.91, 'm5-1': 9.93, 'm6-1': 100.6, 'm7-1': 11.09, 'm8-1': 168.86}",150.89999999999998,17.617,118.217,inf,127.617,127.617
